# time	irf	simulation
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.443045564000000114e-02	0.000000000000000000e+00	0.000000000000000000e+00
4.886091127989999894e-02	0.000000000000000000e+00	0.000000000000000000e+00
7.329136691990000008e-02	0.000000000000000000e+00	0.000000000000000000e+00
9.772182255979999788e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.221522782000000057e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.465827338400000068e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.710131894799999941e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.954436451200000091e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.198741007599999964e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.443045564000000114e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.687350120399999986e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.931654676800000137e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.175959233189999953e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.420263789590000103e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.664568345990000253e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.908872902389999848e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.153177458789999998e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.397482015190000149e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.641786571589999744e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.886091127989999894e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.130395684390000044e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.374700240790000194e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.619004797190000344e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.863309353590000494e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.107613909989999534e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.351918466389999685e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.596223022789999835e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.840527579189999985e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.084832135590000135e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.329136691990000285e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.573441248390000435e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.817745804789999475e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.062050361189999625e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.306354917589999776e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.550659473989999926e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.794964030390000076e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.039268586780000447e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.283573143179999487e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.527877699579999637e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.772182255979999788e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.001648681240000061e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.026079136879999965e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.050509592520000091e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.074940048159999995e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.099370503799999899e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.123800959440000025e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.148231415079999929e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.172661870720000055e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.197092326359999959e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.221522782000000085e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.245953237639999989e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.270383693279999893e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.294814148920000019e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.319244604559999923e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.343675060200000049e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.368105515839999953e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.392535971480000079e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.416966427119999983e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.441396882760000109e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.465827338400000013e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.490257794039999917e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.514688249680000043e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.539118705319999947e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.563549160960000073e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.587979616599999977e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.612410072240000103e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.636840527880000007e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.661270983519999911e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.685701439160000037e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.710131894799999941e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.734562350440000067e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.758992806079999971e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.783423261720000097e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.807853717360000001e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.832284172999999905e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.856714628640000031e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.881145084279999935e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.905575539920000061e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.930005995559999965e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.954436451200000091e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.978866906839999995e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.003297362480000121e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.027727818119999803e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.052158273759999929e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.076588729400000055e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.101019185040000181e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.125449640679999863e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.149880096319999989e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.174310551960000115e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.198741007599999797e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.223171463239999923e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.247601918880000049e+00	0.000000000000000000e+00	0.000000000000000000e+00
